samplename,description
20160825_G10_CM3415-2_S82_R1_001,20160825_G10_CM3415-2_S82_R1_001
20160825_G11_CM3415-2_S83_R1_001,20160825_G11_CM3415-2_S83_R1_001
20160825_G12_CM3415-2_S84_R1_001,20160825_G12_CM3415-2_S84_R1_001
20160825_G1_CM3415-2_S73_R1_001,20160825_G1_CM3415-2_S73_R1_001
20160825_G2_CM3415-2_S74_R1_001,20160825_G2_CM3415-2_S74_R1_001
20160825_G3_CM3415-2_S75_R1_001,20160825_G3_CM3415-2_S75_R1_001
20160825_G4_CM3415-2_S76_R1_001,20160825_G4_CM3415-2_S76_R1_001
20160825_G5_CM3415-2_S77_R1_001,20160825_G5_CM3415-2_S77_R1_001
20160825_G6_CM3415-2_S78_R1_001,20160825_G6_CM3415-2_S78_R1_001
20160825_G7_CM3415-2_S79_R1_001,20160825_G7_CM3415-2_S79_R1_001
20160825_G8_CM3415-2_S80_R1_001,20160825_G8_CM3415-2_S80_R1_001
20160825_G9_CM3415-2_S81_R1_001,20160825_G9_CM3415-2_S81_R1_001
20160825_H10_CM3415-2_S94_R1_001,20160825_H10_CM3415-2_S94_R1_001
20160825_H11_CM3415-2_S95_R1_001,20160825_H11_CM3415-2_S95_R1_001
20160825_H12_CM3415-2_S96_R1_001,20160825_H12_CM3415-2_S96_R1_001
20160825_H1_CM3415-2_S85_R1_001,20160825_H1_CM3415-2_S85_R1_001
20160825_H2_CM3415-2_S86_R1_001,20160825_H2_CM3415-2_S86_R1_001
20160825_H3_CM3415-2_S87_R1_001,20160825_H3_CM3415-2_S87_R1_001
20160825_H4_CM3415-2_S88_R1_001,20160825_H4_CM3415-2_S88_R1_001
20160825_H5_CM3415-2_S89_R1_001,20160825_H5_CM3415-2_S89_R1_001
20160825_H6_CM3415-2_S90_R1_001,20160825_H6_CM3415-2_S90_R1_001
20160825_H7_CM3415-2_S91_R1_001,20160825_H7_CM3415-2_S91_R1_001
20160825_H8_CM3415-2_S92_R1_001,20160825_H8_CM3415-2_S92_R1_001
20160825_H9_CM3415-2_S93_R1_001,20160825_H9_CM3415-2_S93_R1_001

