"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000116406",-0.14220290696289,1.64027911999251
"ENSG00000118965",-0.204563634497812,-0.440405839962064
"ENSG00000116717",-0.36336447341962,0.625861898659556
"ENSG00000143669",0.347969642257524,0.959229744426865
"ENSG00000196352",-0.0194145571402357,0.635829110917338
"ENSG00000160789",0.0957682748269116,0.42888854670897
"ENSG00000116641",-0.128569734852104,1.54823654740587
"ENSG00000120334",0.278179908935199,-1.11260727407755
"ENSG00000116260",0.317803608614813,-0.505663074780488
"ENSG00000204160",0.172184189528729,0.360790950978577
"ENSG00000197056",0.102569931197897,0.904583125023661
"ENSG00000160741",0.0850888511217953,0.660253889867348
"ENSG00000154370",0.212976299685015,0.580592538420596
"ENSG00000143224",0.0926312657979244,0.916981129991797
"ENSG00000117000",-0.188343846774453,0.553376688126207
"ENSG00000116977",0.0355877025452136,0.337727703251952
"ENSG00000173409",0.218260624326839,-0.00563484702928376
"ENSG00000171680",0.215694716354199,0.0588352244733567
"ENSG00000143630",0.136152225451859,1.0364149114447
"ENSG00000132128",0.187291813141887,0.12214431646121
"ENSG00000162695",0.14624432356924,0.25610091852535
"ENSG00000134262",-0.051452649179994,0.278795519178536
"ENSG00000085491",-0.184249708716115,0.861703513586646
"ENSG00000132485",0.293196887164227,-3.70137279578596
"ENSG00000173207",-0.00795669543483063,0.99411102018799
"ENSG00000143575",0.0768545467187483,0.85553560427334
"ENSG00000134698",-0.0300514109457988,0.501620085111656
"ENSG00000160785",0.271196979821553,-0.0715250121236874
"ENSG00000117151",0.381666130879048,0.752356200159539
"ENSG00000169598",-0.0599337960376105,0.182857968559651
"ENSG00000136628",0.232947027629647,0.132446129814841
"ENSG00000162407",-0.268794051337844,-0.0482514392472824
"ENSG00000171735",0.0666614677889957,0.158882110157779
"ENSG00000126067",-0.00399351179005166,0.519342237686887
"ENSG00000143256",0.11049561493102,0.738119055856379
"ENSG00000134243",0.0567606170748888,0.835573673561662
"ENSG00000197530",0.152703048032628,0.184863249903336
"ENSG00000242485",0.0105798523553914,0.921679855214603
"ENSG00000119772",0.0275624059821785,0.67262823256006
"ENSG00000065183",0.0891231258922345,0.260478751607785
"ENSG00000143155",0.00849769771062147,-0.316130910390832
"ENSG00000126698",0.538191177736197,1.14913786442845
"ENSG00000123684",0.0422037580694303,-0.431419391286942
"ENSG00000143079",-0.004855229936052,-0.0607507051590006
"ENSG00000143033",-0.030130445685112,0.910676086128357
"ENSG00000162384",0.0321479640582126,-0.228287862518705
"ENSG00000116205",-0.161756798789151,0.471033517440775
"ENSG00000117143",-0.155760909208499,0.285802245000492
"ENSG00000162433",-0.131956703815996,0.349560353850544
"ENSG00000171621",0.074683039281203,-0.52059729480233
"ENSG00000163349",-0.00990872897391636,0.390469315175781
"ENSG00000123080",0.0557102251345896,-1.15801368803604
"ENSG00000007968",-0.203417206718754,0.36749386015166
"ENSG00000162704",-0.10880386205641,0.0621813545808456
"ENSG00000162600",0.0372884264257352,0.593085215236505
"ENSG00000160783",0.304252167963828,-0.780137134072877
"ENSG00000084676",0.245997467567859,-0.701180980532891
"ENSG00000117500",-0.152289483762398,-0.0212691793974164
"ENSG00000116688",-0.014572157155741,0.224890757254578
"ENSG00000136631",-0.147721371542727,0.524105830118565
"ENSG00000090621",-0.00729349018967066,0.286465737541422
"ENSG00000203667",0.0786789599715889,0.685510035429168
"ENSG00000075391",0.0377279162348922,0.168286932710352
"ENSG00000134324",0.00974444131121545,0.620435121938709
"ENSG00000162521",0.101269415296516,1.07912733414233
"ENSG00000007923",-0.0589275722268309,0.239705845647476
"ENSG00000178585",0.125864776902816,-0.307746565481042
"ENSG00000117308",0.068206428222455,0.383483919919817
"ENSG00000084073",-0.151699231373546,0.77692385079937
"ENSG00000143294",0.155676309979276,-0.455700221775007
"ENSG00000116984",0.120937558456683,0.200721042056266
"ENSG00000116691",-0.029557259490408,-0.237770948524956
"ENSG00000121481",-0.371589948887779,0.820031434204929
"ENSG00000175130",0.0792264126550339,1.0112047808309
"ENSG00000088035",0.0234036571643677,0.363229596516994
"ENSG00000198492",0.0456362824074491,0.756993358755568
"ENSG00000159346",-0.0994861117500237,0.582353364550534
"ENSG00000117751",0.509762615677266,1.21465974816258
"ENSG00000163444",-0.056468638511208,-0.0810157256184747
"ENSG00000117543",0.00484942328729406,0.406557212443635
"ENSG00000143793",0.0697487082405598,0.412234838311706
"ENSG00000183726",0.0262181203479671,0.195429263969682
"ENSG00000092978",-0.0881533003121407,-0.0890974050313554
"ENSG00000143753",0.24741921107809,0.356947349928718
"ENSG00000116750",0.0871938885071619,-1.0587058611154
"ENSG00000132763",-0.228369404575893,0.123934393566164
"ENSG00000135775",0.0124407724746501,1.28636446292036
"ENSG00000054118",-0.0848615691654852,0.480379532067693
"ENSG00000186063",-0.0658936054769039,0.113499140166507
"ENSG00000143643",-0.00400094637733031,0.249982259769467
"ENSG00000143409",0.215309731317947,0.0333844634895473
"ENSG00000081019",-0.136001250551072,0.601712519580329
"ENSG00000116586",0.0844050731526434,0.528075048793238
"ENSG00000121775",0.0977778882899533,0.448641253505685
"ENSG00000118217",0.0854145539394934,1.25740486841388
"ENSG00000118200",-0.0340469929793298,1.30504119485567
"ENSG00000130772",-0.135133563834577,0.0828411584666368
"ENSG00000158292",0.0813501567250463,0.269465963345819
"ENSG00000155363",0.0259243076158574,-0.592421055387013
"ENSG00000184924",0.00620547703956448,-0.880211640686405
"ENSG00000272106",-0.12917758889353,0.111925407919464
"ENSG00000131779",0.123550830546653,-0.640223004461536
"ENSG00000117758",0.0792490716972339,0.542661298427306
"ENSG00000116863",0.14296271900957,-0.66728037057005
"ENSG00000162885",0.0906903391894098,-0.230236653757737
"ENSG00000024526",0.102236407567059,-0.618734218385538
"ENSG00000261716",-0.0554439360598466,0.478410379548445
"ENSG00000163344",0.042870947082928,0.069659821425328
"ENSG00000066135",-0.588349161691239,0.556017561209052
"ENSG00000074800",-0.198494264885156,-0.192136709686925
"ENSG00000079335",0.16701238398587,0.59306260852511
"ENSG00000143376",0.0705666328860585,0.804432893439858
"ENSG00000116991",0.124322446496047,-1.1448084953775
"ENSG00000116199",0.494520388073456,0.803860331589981
"ENSG00000173436",0.0520381064371443,0.192008333530206
"ENSG00000135845",-0.0755340603172865,0.361928573334883
"ENSG00000117632",0.113601947438748,0.475987099847808
"ENSG00000143393",0.00894924515532935,-0.0280160463028084
"ENSG00000198815",0.161696485122284,-0.728715187765646
"ENSG00000132879",0.157771924845086,-0.197750584630445
"ENSG00000176444",0.190354043476879,-0.970354326888683
"ENSG00000160714",0.0613240678574564,-0.114767087443632
"ENSG00000121848",-0.171506435974953,-0.542054424141503
"ENSG00000090273",0.042442328253021,-1.72008195392056
"ENSG00000142655",0.101204231656139,-0.2833343709205
"ENSG00000159176",-0.0783752734846855,-0.227378661578651
"ENSG00000152061",-0.050534236773567,0.287685772560038
"ENSG00000130770",-0.178638228856887,0.368214993010203
"ENSG00000054282",-0.116180316207291,-0.155475126226747
"ENSG00000158161",0.00434270907938209,0.385313569198667
"ENSG00000143368",-0.0816843291331033,0.0280768975261529
"ENSG00000142794",0.0422219980706445,0.143369863142524
"ENSG00000143819",-0.00820371620289567,-0.759904311159445
"ENSG00000047410",-0.0406687877940783,0.300292065269727
"ENSG00000183291",0.159709298017936,-3.80523772009097
"ENSG00000171163",0.110033164159529,0.951363077190326
"ENSG00000122435",-0.0462640642969238,0.314413203827053
"ENSG00000131795",-0.174407616436863,-0.210504509043113
"ENSG00000122484",0.0281322516554181,-0.719559226411905
"ENSG00000162601",-0.00877085651731434,-0.19945150092449
"ENSG00000116954",0.0747955063441619,-0.392701003175066
"ENSG00000215788",-0.0639158601764054,0.279090498952549
"ENSG00000143507",0.117651072979873,-1.10431293955783
"ENSG00000137941",0.00826609752575607,-0.0309273663233027
"ENSG00000121940",-0.104740088645239,-0.0132289528739014
"ENSG00000126705",-0.0883132576664173,0.500209622030877
"ENSG00000122417",-0.151963869275423,-0.035756712790937
"ENSG00000138031",-0.0548281940533096,0.484173925132922
"ENSG00000142684",-0.240679786207407,0.324045434120301
"ENSG00000204138",-0.00375192392093911,-0.790901368199195
"ENSG00000164010",0.12082601022836,-0.516609361564845
"ENSG00000197982",-1.84869562333357,0.188475618268043
"ENSG00000162775",0.232831386770339,1.11725808835131
"ENSG00000143545",-0.064696711443769,0.344321691564185
"ENSG00000198715",-0.057079169245295,-0.123358436629179
"ENSG00000117394",-0.0587028485647759,0.706680813190855
"ENSG00000237973",0.068388397886392,0.0414982300327027
"ENSG00000123091",0.063253422730924,-1.39562998606735
"ENSG00000158773",0.112062646372197,0.907272268963249
"ENSG00000163545",0.134315588732055,-1.77468305769633
"ENSG00000155380",-0.290412496908435,0.617624373440774
"ENSG00000273131",-0.115042343497376,0.138180338493665
"ENSG00000270172",0.0727461347972752,0.621329097832653
"ENSG00000162714",0.0590658361005387,-0.394174497292827
"ENSG00000031698",0.0907779367390007,0.266345591951591
"ENSG00000134644",0.179778060454417,-0.173861294284728
"ENSG00000143801",-0.0577976258922787,0.697900190992016
"ENSG00000116731",0.0566391760004233,-0.810807020509341
"ENSG00000143850",-0.118490285099984,0.403060014837101
"ENSG00000162458",-0.0180669316503141,0.445260785730534
"ENSG00000060642",0.322205475228617,0.291255248488374
"ENSG00000116704",-0.992641057893311,0.554770803592032
"ENSG00000117479",0.134400584915432,0.0921487666627124
"ENSG00000117682",0.152326371142026,-1.04673786512561
"ENSG00000011007",0.20035164759384,1.04313456470261
"ENSG00000077157",-0.268672930513249,0.0588569335192993
"ENSG00000023572",0.167973457200907,0.730109451556747
"ENSG00000143797",-0.463670730640028,0.501528825865058
"ENSG00000143149",0.028064626797446,1.17963094170905
"ENSG00000162819",-0.558650589985938,0.793045796133284
"ENSG00000065526",-0.0111338058986589,-0.803453562013521
"ENSG00000127481",-0.0957869343696049,0.553082396411072
"ENSG00000135847",-0.0108436346248021,0.0833856756566984
"ENSG00000121486",-0.274995178940104,0.0210701172503708
"ENSG00000116455",0.0887023989931056,0.329643533833238
"ENSG00000223380",0.162479258247851,0.735312211388642
"ENSG00000217801",-0.0993882827550631,0.443329184471061
"ENSG00000116906",0.142316573530131,-0.292924969698666
"ENSG00000143321",0.139302015371941,-0.193916309799784
"ENSG00000154380",0.0976040878109595,0.826713861690282
"ENSG00000143740",0.122227793381109,0.148417701686408
"ENSG00000186501",-0.059700264515764,0.414716611658229
"ENSG00000117335",0.046102101375903,0.907534059303308
