"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000116984",0.999008209499928,0.577451525082777
"ENSG00000116691",0.999008209499928,0.535800646626574
"ENSG00000121481",0.999008209499928,0.0296526441870628
"ENSG00000175130",0.999008209499928,0.0112979364453812
"ENSG00000088035",0.999008209499928,0.237722790529169
"ENSG00000198492",0.999008209499928,0.0558326289272401
"ENSG00000159346",0.999008209499928,0.230531145611671
"ENSG00000117751",0.999008209499928,0.0238496365025666
"ENSG00000163444",0.999008209499928,0.839911662341048
"ENSG00000117543",0.999008209499928,0.241705421729352
"ENSG00000143793",0.999008209499928,0.206318997178435
"ENSG00000183726",0.999008209499928,0.70399649687514
"ENSG00000092978",0.999008209499928,0.818250524750908
"ENSG00000143753",0.999008209499928,0.329514613058794
"ENSG00000116750",0.999008209499928,0.042266518225913
"ENSG00000132763",0.999008209499928,0.72465426928045
"ENSG00000135775",0.999008209499928,0.0094903541789101
"ENSG00000054118",0.999008209499928,0.176968205309363
"ENSG00000186063",0.999008209499928,0.740809540221347
"ENSG00000143643",0.999008209499928,0.470840245906467
"ENSG00000143409",0.999008209499928,0.944069992333549
"ENSG00000081019",0.999008209499928,0.146480420441947
"ENSG00000116586",0.999008209499928,0.136644816463
"ENSG00000121775",0.999008209499928,0.389892941506643
"ENSG00000118217",0.999008209499928,0.00399596077947017
"ENSG00000118200",0.999008209499928,0.0238496365025666
"ENSG00000130772",0.999008209499928,0.814329025881283
"ENSG00000158292",0.999008209499928,0.450438290466421
"ENSG00000155363",0.999008209499928,0.0629760516979304
"ENSG00000184924",0.999008209499928,0.0156356768260495
"ENSG00000272106",0.999008209499928,0.761117599020918
"ENSG00000131779",0.999008209499928,0.124861607413503
"ENSG00000117758",0.999008209499928,0.0969944841611889
"ENSG00000116863",0.999008209499928,0.107398418675238
"ENSG00000162885",0.999008209499928,0.515964041540831
"ENSG00000024526",0.999008209499928,0.0706065423050973
"ENSG00000261716",0.999008209499928,0.141886725443412
"ENSG00000163344",0.999008209499928,0.868652526526622
"ENSG00000066135",0.999008209499928,0.327416369489118
"ENSG00000074800",0.999008209499928,0.563680354375807
"ENSG00000079335",0.999008209499928,0.114570858334821
"ENSG00000143376",0.999008209499928,0.0431035942368124
"ENSG00000116991",0.999008209499928,0.0124271717023244
"ENSG00000116199",0.999008209499928,0.13024569021742
"ENSG00000173436",0.999008209499928,0.592791352964999
"ENSG00000135845",0.999008209499928,0.250685553794143
"ENSG00000117632",0.999008209499928,0.166475921540376
"ENSG00000143393",0.999008209499928,0.948708409237112
"ENSG00000198815",0.999008209499928,0.0608200366010875
"ENSG00000132879",0.999008209499928,0.72465426928045
"ENSG00000176444",0.999008209499928,0.0235220510188685
"ENSG00000160714",0.999008209499928,0.734273697937192
"ENSG00000121848",0.999008209499928,0.0901489151683613
"ENSG00000090273",0.999008209499928,0.000950538870014284
"ENSG00000142655",0.999008209499928,0.482249237126358
"ENSG00000159176",0.999008209499928,0.502446946844817
"ENSG00000152061",0.999008209499928,0.363489183116505
"ENSG00000130770",0.999008209499928,0.295394224829411
"ENSG00000054282",0.999008209499928,0.720247386616332
"ENSG00000158161",0.999008209499928,0.342113446261419
"ENSG00000143368",0.999008209499928,0.944069992333549
"ENSG00000142794",0.999008209499928,0.72153297317921
"ENSG00000143819",0.999008209499928,0.0497186850525941
"ENSG00000047410",0.999008209499928,0.368641834053651
"ENSG00000183291",0.999008209499928,3.51654706620595e-07
