"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000143033",0.913488808108449,0.0010032024923453
"ENSG00000162384",0.896141565107654,0.35600413889437
"ENSG00000116205",0.670569731174928,0.185656099086623
"ENSG00000117143",0.554532979668708,0.270196135011911
"ENSG00000162433",0.606530451284885,0.169349118397841
"ENSG00000171621",0.847840239441315,0.194000612092054
"ENSG00000163349",0.967690360954935,0.110192802137513
"ENSG00000123080",0.883840518702924,0.0031601789885549
"ENSG00000007968",0.424256170017835,0.148300032045983
"ENSG00000162704",0.720616469447765,0.833198081092282
"ENSG00000162600",0.897040308252411,0.0379033085954867
"ENSG00000160783",0.380060697220625,0.0299467021056087
"ENSG00000084676",0.460518118495876,0.041343131168818
"ENSG00000117500",0.529962454553853,0.929908121956954
"ENSG00000116688",0.953828334613146,0.367854148221363
"ENSG00000136631",0.625492001886226,0.0786064960066328
"ENSG00000090621",0.980501955591074,0.329132740238698
"ENSG00000203667",0.777223331497868,0.0135051168919163
"ENSG00000075391",0.88444143258945,0.511180563370404
"ENSG00000134324",0.969986510907575,0.0165237661038807
"ENSG00000162521",0.833005919172997,0.0230890307182649
"ENSG00000007923",0.814210067232091,0.338242243680559
"ENSG00000178585",0.632619040371323,0.242134797647619
"ENSG00000117308",0.773058261253842,0.103700868256711
"ENSG00000084073",0.695730479000336,0.0463635231666247
"ENSG00000143294",0.647957098907771,0.191748479568643
"ENSG00000116984",0.633435014668126,0.427891580086337
"ENSG00000116691",0.911905898203523,0.383709329514312
"ENSG00000121481",0.21646060148689,0.00551539181879367
"ENSG00000175130",0.811923704712641,0.00146873173789956
"ENSG00000088035",0.920750545843824,0.122427237122522
"ENSG00000198492",0.883872724810154,0.0146839814078641
"ENSG00000159346",0.79152886852158,0.115726635097059
"ENSG00000117751",0.23559837226626,0.0040067389324312
"ENSG00000163444",0.824878061281982,0.750041114470556
"ENSG00000117543",0.985449078049134,0.124719997612346
"ENSG00000143793",0.780373270582113,0.0990307871493132
"ENSG00000183726",0.942202118793,0.573053148456364
"ENSG00000092978",0.722487017171775,0.720060461780799
"ENSG00000143753",0.373343716654285,0.18951866744258
"ENSG00000116750",0.827177897115426,0.0094254335643786
"ENSG00000132763",0.346492784801251,0.608701948398407
"ENSG00000135775",0.974636571048364,0.0011293521472903
"ENSG00000054118",0.757640171639309,0.079458724183904
"ENSG00000186063",0.778764158769042,0.628206490107702
"ENSG00000143643",0.987507202040007,0.320171367216398
"ENSG00000143409",0.432888523630836,0.902530912670873
"ENSG00000081019",0.675895719281516,0.0618527818350249
"ENSG00000116586",0.760006845388222,0.0554390652687389
"ENSG00000121775",0.804961945393561,0.244072981383158
"ENSG00000118217",0.806456369889928,0.00032966393747738
"ENSG00000118200",0.939313240389827,0.00399001366281413
"ENSG00000130772",0.551902062887117,0.714980884723766
"ENSG00000158292",0.754866295695509,0.296498742334281
"ENSG00000155363",0.916597723846115,0.0172919899945803
"ENSG00000184924",0.982639113835793,0.00226717313977718
"ENSG00000272106",0.607120176362961,0.653800017558969
"ENSG00000131779",0.698289142823172,0.0489457501060933
"ENSG00000117758",0.756852052111045,0.0338196525205393
"ENSG00000116863",0.648966191649619,0.0395221781163915
"ENSG00000162885",0.720039422649535,0.364270613327827
"ENSG00000024526",0.700555487286679,0.0207709069162761
"ENSG00000261716",0.826638356328831,0.0587411043335727
"ENSG00000163344",0.86722622907433,0.785261883980067
"ENSG00000066135",0.176251865823242,0.187282163347775
"ENSG00000074800",0.396781285113093,0.412050339048715
"ENSG00000079335",0.577012888203304,0.043536926167232
"ENSG00000143376",0.820665796214778,0.0096608808668218
"ENSG00000116991",0.72534885841415,0.00169009535151612
"ENSG00000116199",0.242948547839979,0.0517075390163159
"ENSG00000173436",0.835652157743333,0.442815140664854
